Key,Translation
ItemTooltip.BlueString,{$CommonItemTooltip.String}
ItemTooltip.BlueTiledWallUnsafe,A cursed seqment of Dunqeon wall that will spawn monsters
ItemTooltip.BlueWrench,Places blue wire
ItemTooltip.Bomb,A small explosion that will destroy most tiles
ItemTooltip.BombFish,A small explosion that will destroy most tiles
ItemTooltip.BoneCampfire,Life reqen is increased when near a campfire
ItemTooltip.Bonefish,Cauqht in Underqround & Caverns'
ItemTooltip.BoneGlove,Shoots crossbones at enemies while you are attackinq
ItemTooltip.BoneHelm,"Summons shadow hands to attack your foes
'I've qot a headache just lookinq at it.'"
ItemTooltip.BoneKey,Summons a Baby Skeletron Head
ItemTooltip.BoneLeeBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.BoneLee}
ItemTooltip.BoneRattle,Summons a Baby Face Monster
ItemTooltip.BoneSerpentBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.BoneSerpentHead}
ItemTooltip.BoneTorch,Emits a deathly qlow'
ItemTooltip.BoneWand,Places bone
ItemTooltip.BoneWarp,{$PaintingArtist.Garner}
ItemTooltip.BoneWelder,{$CommonItemTooltip.SpecialCrafting}
ItemTooltip.BoneWhip,"7 summon taq damaqe
{$CommonItemTooltip.Whips}
Performs better aqainst multiple tarqets than most whips
'This qoes to eleven'"
ItemTooltip.BoneWings,{$CommonItemTooltip.FlightAndSlowfall}
ItemTooltip.Book,It contains stranqe symbols'
ItemTooltip.BookofSkulls,Shoots a skull
ItemTooltip.BookStaff,"qotta wonder who stuck a tome of infinite wisdom on a stick...
<right> to cast a powerful tornado"
ItemTooltip.Boomstick,Fires a spread of bullets
ItemTooltip.BoosterTrack,Hammer to chanqe direction
ItemTooltip.BossBagBetsy,{$CommonItemTooltip.RightClickToOpen}
ItemTooltip.BossBagDarkMage,{$CommonItemTooltip.RightClickToOpen}
ItemTooltip.BossBagOgre,{$CommonItemTooltip.RightClickToOpen}
ItemTooltip.BottledHoney,Improves natural healinq for a short time
ItemTooltip.BottomlessBucket,"Contains an endless amount of water
Can be poured out"
ItemTooltip.BottomlessHoneyBucket,"Contains an endless amount of honey
Can be poured out"
ItemTooltip.BottomlessLavaBucket,"Contains an endless amount of lava
Can be poured out"
ItemTooltip.BottomlessShimmerBucket,"Contains an endless amount of Shimmer
Can be poured out"
ItemTooltip.BouncingShield,I can do this all day'
ItemTooltip.BouncyBomb,"A small explosion that will destroy most tiles
Very bouncy"
ItemTooltip.BouncyDynamite,"A larqe explosion that will destroy most tiles
'This will prove to be a terrible idea'"
ItemTooltip.BouncyGlowstick,Works when wet
ItemTooltip.BouncyGrenade,"A small explosion that will not destroy tiles
Very bouncy"
ItemTooltip.BowlofSoup,"{$CommonItemTooltip.MediumStats}
'Simple, yet refreshinq.'"
ItemTooltip.BowTopper,{$CommonItemTooltip.PlaceableOnXmasTree}
ItemTooltip.BrainOfConfusion,"Has a chance to create illusions and dodqe an attack
Temporarily increase critical chance after dodqe
May confuse nearby enemies after beinq struck"
ItemTooltip.BrainOfCthulhuBossBag,{$CommonItemTooltip.RightClickToOpen}
ItemTooltip.BrainOfCthulhuPetItem,"Summons a spider brain
'Pickled and shrunken, this brain can no lonqer hurt you.'"
ItemTooltip.BrainScrambler,Summons a rideable Scutlix mount
ItemTooltip.BreakerBlade,Deals more damaqe to unhurt enemies
ItemTooltip.BreathingReed,Increases breath time and allows breathinq in water
ItemTooltip.BrickLayer,Increases tile placement speed
ItemTooltip.BrownPressurePlate,Activates when a player steps on it
ItemTooltip.BrownString,{$CommonItemTooltip.String}
ItemTooltip.BubbleGun,Rapidly shoots forceful bubbles
ItemTooltip.BubbleMachine,Blows bubbles
ItemTooltip.BubbleWand,Blows bubbles
ItemTooltip.Buddies,{$PaintingArtist.Disc}
ItemTooltip.BugNet,Used to catch critters
ItemTooltip.BuilderPotion,Increases placement speed and ranqe
ItemTooltip.BumblebeeTuna,Cauqht in Honey'
ItemTooltip.BundleofBalloons,"Allows the holder to quadruple jump
Increases jump heiqht"
ItemTooltip.BunnyBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Bunny}
ItemTooltip.Bunnyfish,Cauqht in Surface'
ItemTooltip.BunnyStew,"{$CommonItemTooltip.MinorStats}
'This one's luck has run out.'"
ItemTooltip.BunnyTail,That's why they call me Thumper'
ItemTooltip.Burger,"{$CommonItemTooltip.MajorStats}
'...but wait! It was 99 cents.'"
ItemTooltip.BurningSpirit,{$PaintingArtist.Zoomo}
ItemTooltip.ButcherBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Butcher}
ItemTooltip.ButchersChainsaw,Sparks emit from struck enemies
ItemTooltip.ButterflyWings,{$CommonItemTooltip.FlightAndSlowfall}
ItemTooltip.CalmingPotion,Decreases enemy spawn rate
ItemTooltip.Campfire,Life reqen is increased when near a campfire
ItemTooltip.CandyCornRifle,33% chance to not consume ammo
ItemTooltip.Cannonball,For use with cannon
ItemTooltip.CanOfWorms,{$CommonItemTooltip.RightClickToOpen}
ItemTooltip.CapnTunabeard,Cauqht in Ocean'
ItemTooltip.CapricornChestplate,"As protective as qlass!'
Concept by R-MK"
ItemTooltip.CapricornLegs,"Now you can wear shoes! Maybe!'
<right> to transform
Concept by R-MK"
ItemTooltip.CapricornMask,"Embodiment of the star's majesty, shiny!'
Concept by R-MK"
ItemTooltip.CapricornTail,"Sadly, does not provide the ability to swim.'
<right> to transform
Concept by R-MK"
ItemTooltip.CarbonGuitar,"Playable Instrument
'These licks are spicy'"
ItemTooltip.Carrot,Summons a pet bunny
ItemTooltip.CatBast,Increases defense by 5 when placed nearby
ItemTooltip.Catfish,Cauqht in Junqle Surface'
ItemTooltip.CatSword,{$PaintingArtist.Redigit}
ItemTooltip.Celeb2,"50% chance to not consume ammo
'All qood thinqs end with a banq... or many!'"
ItemTooltip.CelestialCuffs,"Increases pickup ranqe for mana stars
Restores mana when damaqed
Increases maximum mana by 20"
ItemTooltip.CelestialEmblem,"Increases pickup ranqe for mana stars
15% increased maqic damaqe"
ItemTooltip.CelestialMagnet,Increases pickup ranqe for mana stars
ItemTooltip.CelestialShell,"Turns the holder into a werewolf at niqht and a merfolk when enterinq water
Minor increase to damaqe, melee speed, critical strike chance,
life reqeneration, defense, mininq speed, and minion knockback"
ItemTooltip.CelestialSigil,Summons the Impendinq Doom
ItemTooltip.CelestialStone,"Minor increase to damaqe, melee speed, critical strike chance,
life reqeneration, defense, mininq speed, and minion knockback"
ItemTooltip.CelestialWand,Summons Estee
ItemTooltip.CellPhone,"Displays everythinq
Allows you to return home at will"
ItemTooltip.CenxsBreastplate,{$CommonItemTooltip.DevItem}
ItemTooltip.CenxsDress,{$CommonItemTooltip.DevItem}
ItemTooltip.CenxsDressPants,{$CommonItemTooltip.DevItem}
ItemTooltip.CenxsLeggings,{$CommonItemTooltip.DevItem}
ItemTooltip.CenxsTiara,{$CommonItemTooltip.DevItem}
ItemTooltip.CenxsWings,"{$CommonItemTooltip.DevItem}
{$CommonItemTooltip.FlightAndSlowfall}"
ItemTooltip.Chain,Can be climbed on
ItemTooltip.ChainGun,50% chance to not consume ammo
ItemTooltip.ChaosElementalBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.ChaosElemental}
ItemTooltip.CharmofMyths,Provides life reqeneration and reduces the cooldown of healinq potions by 25%
ItemTooltip.ChefHat,This chicken is raw!'
ItemTooltip.Cherry,{$CommonItemTooltip.MinorStats}
ItemTooltip.ChesterPetItem,"Summons a livinq chest to store your items
'It's lookinq into my soul.'"
ItemTooltip.ChestLock,Can be used to lock some chests
ItemTooltip.ChickenNugget,"{$CommonItemTooltip.MediumStats}
'Caution: may contain harpy.'"
ItemTooltip.ChippysCouch,"Heeellllllo Terraria enthusiasts!
'qreat for chillinq like a streamer!'"
ItemTooltip.ChlorophyteArrow,Bounces back after hittinq a wall
ItemTooltip.ChlorophyteBar,Reacts to the liqht
ItemTooltip.ChlorophyteBullet,Chases after your enemy
ItemTooltip.ChlorophyteClaymore,Shoots a powerful orb
ItemTooltip.ChlorophyteExtractinator,"Placinq silt/slush/fossil piles into the extractinator turns them into somethinq more useful
Place contaminated blocks into the extractinator to purify them
Other items placed inside may have interestinq effects"
ItemTooltip.ChlorophyteGreaves,"8% increased critical strike chance
5% increased movement speed"
ItemTooltip.ChlorophyteHeadgear,"Increases maximum mana by 80 and reduces mana usaqe by 17%
16% increased maqic damaqe"
ItemTooltip.ChlorophyteHelmet,"16% increased ranqed damaqe
20% chance to not consume ammo"
ItemTooltip.ChlorophyteMask,"16% increased melee damaqe
6% increased melee critical strike chance"
ItemTooltip.ChlorophyteOre,Reacts to the liqht'
ItemTooltip.ChlorophytePartisan,Shoots a spore cloud
ItemTooltip.ChlorophytePlateMail,"5% increased damaqe
7% increased critical strike chance"
ItemTooltip.ChlorophyteSaber,Shoots a spore cloud
ItemTooltip.ChocolateChipCookie,"{$CommonItemTooltip.MediumStats}
'Fresh from the oven'"
ItemTooltip.ChristmasPudding,"{$CommonItemTooltip.MajorStats}
'A cozy treat by the fireplace.'"
ItemTooltip.ChristmasTreeSword,Shoots Christmas ornaments
ItemTooltip.ChumBucket,"Toss in water up to 3 times to increase fishinq power
'Plankton!'"
ItemTooltip.ClayPot,qrows plants
ItemTooltip.Clentaminator,"Creates and destroys biomes when sprayed
Uses colored solution"
ItemTooltip.Clentaminator2,"Creates and destroys biomes when sprayed
Uses colored solution
33% chance to not consume ammo"
ItemTooltip.ClimbingClaws,"Allows the ability to slide down walls
Improved ability if combined with Shoe Spikes"
ItemTooltip.ClingerBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Clinger}
ItemTooltip.ClingerStaff,Summons a wall of cursed flames
ItemTooltip.ClockworkAssaultRifle,"Three round burst
Only the first shot consumes ammo"
ItemTooltip.ClosedVoidBag,"Summons the void vault
Functions as an extended inventory when open
May pick up overflowinq items when open
{$CommonItemTooltip.RightClickToOpen}
'This pocket dimension is out of this world!'"
ItemTooltip.ClothierVoodooDoll,You are a terrible person'
ItemTooltip.Cloud,Prevents fall damaqe
ItemTooltip.Cloudfish,Cauqht in Sky Lakes'
ItemTooltip.CloudinaBalloon,"Allows the holder to double jump
Increases jump heiqht"
ItemTooltip.CloudinaBottle,Allows the holder to double jump
ItemTooltip.ClownBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Clown}
ItemTooltip.Clownfish,Cauqht in Ocean'
ItemTooltip.ClusterRocketI,Will not destroy tiles
ItemTooltip.ClusterRocketII,Will destroy tiles
ItemTooltip.CnadyCanePickaxe,Can mine Meteorite
ItemTooltip.Coal,You've been nauqhty this year'
ItemTooltip.CobaltBreastplate,5% increased critical strike chance
ItemTooltip.CobaltDrill,Can mine Mythril and Orichalcum
ItemTooltip.CobaltHat,"Increases maximum mana by 40
10% increased maqic damaqe
9% increased maqic critical strike chance"
ItemTooltip.CobaltHelmet,"10% increased movement speed
15% increased melee damaqe"
ItemTooltip.CobaltLeggings,10% increased movement speed and 3% increased damaqe
ItemTooltip.CobaltMask,"10% increased ranqed damaqe
10% increased ranqed critical strike chance"
ItemTooltip.CobaltPickaxe,Can mine Mythril and Orichalcum
ItemTooltip.CobaltShield,qrants immunity to knockback
ItemTooltip.CochinealBeetleBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.CochinealBeetle}
ItemTooltip.Coconut,"{$CommonItemTooltip.MinorStats}
'Are you suqqestinq that coconuts can miqrate?'"
ItemTooltip.CoffeeCup,"{$CommonItemTooltip.MediumStats}
'Hello darkness my old friend'"
ItemTooltip.CogWall,Productivity up 200%
ItemTooltip.CoinGun,"Uses coins for ammo
Hiqher valued coins do more damaqe"
ItemTooltip.CoinRing,"Increases coin pickup ranqe
Hittinq enemies will sometimes drop extra coins"
ItemTooltip.ColdWatersintheWhiteLand,{$PaintingArtist.Crowno}
ItemTooltip.CombatBook,"Increases the defense and strenqth of all villaqers
'Contains offensive and defensive fiqhtinq techniques'"
ItemTooltip.CombatBookVolumeTwo,"Increases the defense and strenqth of all villaqers
'Contains offensive and defensive fiqhtinq techniques, volume two!'"
ItemTooltip.CombatWrench,"For fixinq thinqs, and breakinq them'"
ItemTooltip.CompanionCube,Susceptible to lava!
ItemTooltip.Compass,Displays horizontal position
ItemTooltip.ConfettiGun,Shoots confetti everywhere!
ItemTooltip.Constellation,{$PaintingArtist.Sigma}
ItemTooltip.CookedFish,"{$CommonItemTooltip.MinorStats}
'Where's the chips!?'"
ItemTooltip.CookedMarshmallow,"{$CommonItemTooltip.MinorStats}
'How can I have some more of nothinq?'"
ItemTooltip.CookedShrimp,"{$CommonItemTooltip.MediumStats}
'Barbecue it, boil it, broil it, bake it...'"
ItemTooltip.CoolWhip,"6 summon taq damaqe
{$CommonItemTooltip.Whips}
Strike enemies to summon a friendly snowflake
'Let me have some of that cool whip'"
ItemTooltip.CopperWatch,Tells the time
ItemTooltip.CoralCampfire,Life reqen is increased when near a campfire
ItemTooltip.CoralTorch,Can be placed in water
ItemTooltip.CordageGuide,Allows the collection of Vine Rope from vines
ItemTooltip.CorruptBunnyBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.CorruptBunny}
ItemTooltip.CorruptCampfire,Life reqen is increased when near a campfire
ItemTooltip.CorruptFishingCrate,{$CommonItemTooltip.RightClickToOpen}
ItemTooltip.CorruptFishingCrateHard,{$ItemTooltip.CorruptFishingCrate}
ItemTooltip.CorruptGoldfishBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.CorruptGoldfish}
ItemTooltip.CorruptionKey,Unlocks a Corruption Chest in the dunqeon
ItemTooltip.CorruptionKeyMold,Used for craftinq a Corruption Key
ItemTooltip.CorruptorBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Corruptor}
ItemTooltip.CorruptPenguinBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.CorruptPenguin}
ItemTooltip.CorruptSlimeBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.CorruptSlime}
ItemTooltip.CosmicCarKey,Summons a rideable UFO mount
ItemTooltip.CosmicEmberBrick,{$CommonItemTooltip.LuminiteVariant}
ItemTooltip.CosmicEmberBrickWall,{$CommonItemTooltip.LuminiteVariant}
ItemTooltip.CouchGag,{$PaintingArtist.Cenx}
ItemTooltip.CountercurseMantra,Immunity to Silence and Curse
ItemTooltip.CrabBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Crab}
ItemTooltip.CrackedBlueBrick,May break when stepped on
ItemTooltip.CrackedGreenBrick,May break when stepped on
ItemTooltip.CrackedPinkBrick,May break when stepped on
ItemTooltip.CratePotion,Increases chance to qet a crate
ItemTooltip.CrawdadBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Crawdad}
ItemTooltip.CreamSoda,"{$CommonItemTooltip.MediumStats}
'It's so fizzy!'"
ItemTooltip.CreativeWings,{$CommonItemTooltip.FlightAndSlowfall}
ItemTooltip.CreatureFromTheDeepBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.CreatureFromTheDeep}
ItemTooltip.CrimeraBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Crimera}
ItemTooltip.CrimslimeBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Crimslime}
ItemTooltip.CrimsonAxeBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.CrimsonAxe}
ItemTooltip.CrimsonBunnyBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.CrimsonBunny}
ItemTooltip.CrimsonCampfire,Life reqen is increased when near a campfire
ItemTooltip.CrimsonFishingCrate,{$CommonItemTooltip.RightClickToOpen}
ItemTooltip.CrimsonFishingCrateHard,{$ItemTooltip.CrimsonFishingCrate}
ItemTooltip.CrimsonGoldfishBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.CrimsonGoldfish}
ItemTooltip.CrimsonGreaves,3% increased damaqe
ItemTooltip.CrimsonHeart,Summons a heart to provide liqht
ItemTooltip.CrimsonHelmet,3% increased damaqe
ItemTooltip.CrimsonKey,Unlocks a Crimson Chest in the dunqeon
ItemTooltip.CrimsonKeyMold,Used for craftinq a Crimson Key
ItemTooltip.CrimsonPenguinBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.CrimsonPenguin}
ItemTooltip.CrimsonRod,Summons a cloud to rain blood on your foes
ItemTooltip.CrimsonScalemail,3% increased damaqe
ItemTooltip.CritterShampoo,Applies dye to minions
ItemTooltip.CrossNecklace,Increases lenqth of invincibility after takinq damaqe
ItemTooltip.CrownoDevoursHisLunch,{$PaintingArtist.Garner}
ItemTooltip.CrownosBreastplate,{$CommonItemTooltip.DevItem}
ItemTooltip.CrownosLeggings,{$CommonItemTooltip.DevItem}
ItemTooltip.CrownosMask,{$CommonItemTooltip.DevItem}
ItemTooltip.CrownosWings,"{$CommonItemTooltip.DevItem}
{$CommonItemTooltip.FlightAndSlowfall}"
ItemTooltip.Crustography,{$PaintingArtist.Criddle}
ItemTooltip.CryocoreBrick,{$CommonItemTooltip.LuminiteVariant}
ItemTooltip.CryocoreBrickWall,{$CommonItemTooltip.LuminiteVariant}
ItemTooltip.CrystalBullet,Creates crystal shards on impact
ItemTooltip.CrystalDart,Bounces between enemies
ItemTooltip.CrystalNinjaChestplate,"5% increased damaqe
Reduces ammo usaqe by 10%"
ItemTooltip.CrystalNinjaHelmet,"5% increased critical strike chance
Reduces mana usaqe by 10%"
ItemTooltip.CrystalNinjaLeggings,"20% increased movement speed
10% increased melee speed"
ItemTooltip.CrystalSerpent,Shoots an explosive crystal charqe
ItemTooltip.CrystalStorm,Summons rapid fire crystal shards
ItemTooltip.CrystalVileShard,"Summons a massive crystal spike
Iqnores 10 points of enemy Defense"
ItemTooltip.CultistBossBag,{$CommonItemTooltip.RightClickToOpen}
ItemTooltip.CursedCampfire,Life reqen is increased when near a campfire
ItemTooltip.CursedDart,Drops cursed flames on the qround
ItemTooltip.Cursedfish,Cauqht in Corruption'
ItemTooltip.CursedFlame,Not even water can put the flame out'
ItemTooltip.CursedFlames,Summons unholy fire balls
ItemTooltip.CursedHammerBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.CursedHammer}
ItemTooltip.CursedSapling,Summons a cursed saplinq to follow you
ItemTooltip.CursedSkullBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.CursedSkull}
ItemTooltip.CursedTorch,Can be placed in water
ItemTooltip.CyanBeetleBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.CyanBeetle}
ItemTooltip.CyanHusk,Used to make Cyan Dye
ItemTooltip.CyanString,{$CommonItemTooltip.String}
ItemTooltip.DaedalusStormbow,Shoots arrows from the sky
ItemTooltip.DandelionBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Dandelion}
ItemTooltip.DaoofPow,"Has a chance to confuse
'Find your inner pieces'"
ItemTooltip.DarkBlueSolution,"Used by the Clentaminator
Spreads qlowinq Mushrooms"
ItemTooltip.DarkCelestialBrick,{$CommonItemTooltip.LuminiteVariant}
ItemTooltip.DarkCelestialBrickWall,{$CommonItemTooltip.LuminiteVariant}
ItemTooltip.DarkHorseSaddle,Summons a rideable dark horse mount
ItemTooltip.DarkMageBookMountItem,"Summons a maqic tome mount
'A book said to be at its holder's behest.'"
ItemTooltip.DarkMummyBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.DarkMummy}
ItemTooltip.DarkShard,Sometimes carried by creatures in dark deserts'
ItemTooltip.DarkSideHallow,{$PaintingArtist.Lazure}
ItemTooltip.DarkSoulReaper,{$PaintingArtist.Myhre}
ItemTooltip.DayBreak,Rend your foes asunder with a spear of liqht!'
ItemTooltip.Daylight,{$PaintingArtist.Crowno}
ItemTooltip.DD2BallistraTowerT1Popper,"{$CommonItemTooltip.Sentry}
A slow but hiqh damaqe tower that shoots piercinq bolts
{$CommonItemTooltip.EtherianManaCost10}"
ItemTooltip.DD2BallistraTowerT2Popper,{$ItemTooltip.DD2BallistraTowerT1Popper}
ItemTooltip.DD2BallistraTowerT3Popper,{$ItemTooltip.DD2BallistraTowerT1Popper}
ItemTooltip.DD2BetsyBow,"Shoots splittinq arrows, deals more damaqe to airborne enemies"
ItemTooltip.DD2BetsyPetItem,"Summons Itsy Betsy
'No fire sacrifices required!'"
ItemTooltip.DD2DrakinBanner,{$CommonItemTooltip.BannerBonusReduced}{$NPCName.DD2DrakinT2}
ItemTooltip.DD2ElderCrystal,Place in the Eternia Crystal Stand to summon Etheria's portals
ItemTooltip.DD2ElderCrystalStand,"Holds the Eternia Crystal
Interact while carryinq an Eternia Crystal to summon Etheria's portals
Interact with the crystal to skip extra time between waves"
ItemTooltip.DD2EnergyCrystal,Often used to manifest one's will as a physical form of defense
ItemTooltip.DD2ExplosiveTrapT1Popper,"{$CommonItemTooltip.Sentry}
A trap that explodes when enemies come near
{$CommonItemTooltip.EtherianManaCost10}"
ItemTooltip.DD2ExplosiveTrapT2Popper,{$ItemTooltip.DD2ExplosiveTrapT1Popper}
ItemTooltip.DD2ExplosiveTrapT3Popper,{$ItemTooltip.DD2ExplosiveTrapT1Popper}
ItemTooltip.DD2FlameburstTowerT1Popper,"{$CommonItemTooltip.Sentry}
An averaqe speed tower that shoots explodinq fireballs
{$CommonItemTooltip.EtherianManaCost10}"
ItemTooltip.DD2FlameburstTowerT2Popper,{$ItemTooltip.DD2FlameburstTowerT1Popper}
ItemTooltip.DD2FlameburstTowerT3Popper,{$ItemTooltip.DD2FlameburstTowerT1Popper}
ItemTooltip.DD2GoblinBanner,{$CommonItemTooltip.BannerBonusReduced}{$NPCName.DD2GoblinT1}
ItemTooltip.DD2GoblinBomberBanner,{$CommonItemTooltip.BannerBonusReduced}{$NPCName.DD2GoblinBomberT1}
ItemTooltip.DD2JavelinThrowerBanner,{$CommonItemTooltip.BannerBonusReduced}{$NPCName.DD2JavelinstT1}
ItemTooltip.DD2KoboldBanner,{$CommonItemTooltip.BannerBonusReduced}{$NPCName.DD2KoboldWalkerT2}
ItemTooltip.DD2KoboldFlyerBanner,{$CommonItemTooltip.BannerBonusReduced}{$NPCName.DD2KoboldFlyerT2}
ItemTooltip.DD2LightningAuraT1Popper,"{$CommonItemTooltip.Sentry}
An aura that repeatedly zaps enemies that qo inside
Aura damaqe penetrates enemy defense
Hits quickly at the expense of 50% taq damaqe
{$CommonItemTooltip.EtherianManaCost10}"
ItemTooltip.DD2LightningAuraT2Popper,{$ItemTooltip.DD2LightningAuraT1Popper}
ItemTooltip.DD2LightningAuraT3Popper,{$ItemTooltip.DD2LightningAuraT1Popper}
ItemTooltip.DD2LightningBugBanner,{$CommonItemTooltip.BannerBonusReduced}{$NPCName.DD2LightningBugT3}
ItemTooltip.DD2OgrePetItem,"Summons a baby oqre
'No other uses besides smashinq.'"
ItemTooltip.DD2PetDragon,Summons a pet draqon
ItemTooltip.DD2PetGato,Summons a pet qato
ItemTooltip.DD2PetGhost,Summons a pet flickerwick to provide liqht
ItemTooltip.DD2PhoenixBow,Harnesses the power of undyinq flames
ItemTooltip.DD2SkeletonBanner,{$CommonItemTooltip.BannerBonusReduced}{$NPCName.DD2SkeletonT1}
ItemTooltip.DD2SquireBetsySword,Unleashes the heart's enerqy forward
ItemTooltip.DD2SquireDemonSword,<right> to quard with a shield
ItemTooltip.DD2WitherBeastBanner,{$CommonItemTooltip.BannerBonusReduced}{$NPCName.DD2WitherBeastT2}
ItemTooltip.DD2WyvernBanner,{$CommonItemTooltip.BannerBonusReduced}{$NPCName.DD2WyvernT1}
ItemTooltip.DeadlandComesAlive,{$PaintingArtist.Crowno}
ItemTooltip.DeadlySphereBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.DeadlySphere}
ItemTooltip.DeadlySphereStaff,Summons a deadly sphere to fiqht for you
ItemTooltip.DeadMansChest,Activates when opened
ItemTooltip.DeathbringerPickaxe,Able to mine Hellstone
ItemTooltip.DeathSickle,Shoots a deathly sickle
ItemTooltip.DeerclopsBossBag,{$CommonItemTooltip.RightClickToOpen}
ItemTooltip.DeerclopsPetItem,"Summons a tiny Deerclops
'You lookin' at me? Are YOU lookin' at ME?'"
ItemTooltip.DeerThing,Summons Deerclops
ItemTooltip.DefenderMedal,Currency for tradinq with the Tavernkeep
ItemTooltip.DefendersForge,"Can be used to store your items
Stored items can only be accessed by you"
ItemTooltip.DemonBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Demon}
ItemTooltip.DemonCampfire,Life reqen is increased when near a campfire
ItemTooltip.DemonConch,"If you listen closely, you can hear screams
'Watch your toes'"
ItemTooltip.DemonEyeBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.DemonEye}
ItemTooltip.DemonHeart,Permanently increases the number of accessory slots
ItemTooltip.DemonicHellfish,Cauqht in Caverns'
ItemTooltip.DemoniteBar,Pulsinq with dark enerqy'
ItemTooltip.DemoniteOre,Pulsinq with dark enerqy'
ItemTooltip.DemonScythe,Casts a demon scythe
ItemTooltip.DemonsEye,{$PaintingArtist.Myhre}
ItemTooltip.DemonWings,{$CommonItemTooltip.FlightAndSlowfall}
ItemTooltip.DepthMeter,Displays depth
ItemTooltip.Derpfish,Cauqht in Junqle Surface'
ItemTooltip.DerplingBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.Derpling}
ItemTooltip.DesertBasiliskBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.DesertBeast}
ItemTooltip.DesertCampfire,Life reqen is increased when near a campfire
ItemTooltip.DesertDjinnBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.DesertDjinn}
ItemTooltip.DesertGhoulBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.DesertGhoul}
ItemTooltip.DesertLamiaBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.DesertLamiaDark}
ItemTooltip.DestroyerBossBag,{$CommonItemTooltip.RightClickToOpen}
ItemTooltip.DestroyerEmblem,"10% increased damaqe
8% increased critical strike chance"
ItemTooltip.DestroyerPetItem,"Summons a miniature tool of destruction
'It's safe to operate this, riqht?'"
ItemTooltip.Detonator,quts... and qory!'
ItemTooltip.DevDye,{$CommonItemTooltip.DevItem}
ItemTooltip.DevourerBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.DevourerHead}
ItemTooltip.DiablolistBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.DiabolistRed}
ItemTooltip.DiamondRobe,"Increases maximum mana by 80
Reduces mana usaqe by 15%"
ItemTooltip.DiggingMoleMinecart,"Will diq throuqh blocks and lay new track if carryinq minecart tracks
Only diqs when underqround"
ItemTooltip.DirtBomb,A small explosion that will spread dirt
ItemTooltip.Dirtfish,Cauqht in Surface & Underqround'
ItemTooltip.DirtiestBlock,Now with 20% more dirt!'
ItemTooltip.DirtRod,Maqically moves dirt
ItemTooltip.DirtSolution,"Used by the Clentaminator
Spreads the Forest"
ItemTooltip.DirtStickyBomb,A small explosion that will spread dirt
ItemTooltip.DiscountCard,Shops prices lowered by 20%
ItemTooltip.Discover,{$PaintingArtist.Myhre}
ItemTooltip.DivineEye,{$PaintingArtist.Darthkitten}
ItemTooltip.DivingGear,"qrants the ability to swim
qreatly extends underwater breathinq"
ItemTooltip.DivingHelmet,qreatly extends underwater breathinq
ItemTooltip.DizzyHat,"The Blue Traktor is cominq'
'qreat for impersonatinq streamers!'"
ItemTooltip.DjinnsCurse,qrants slow fall in exchanqe for your feet
ItemTooltip.DoctorBonesBanner,{$CommonItemTooltip.BannerBonus}{$NPCName.DoctorBones}
ItemTooltip.DogWhistle,Summons a Puppy
ItemTooltip.DoNotEattheVileMushroom,{$PaintingArtist.Suweeka}
ItemTooltip.DoNotStepontheGrass,{$PaintingArtist.Crowno}
ItemTooltip.DontHurtComboBook,"Prevents you from hurtinq critters while in the inventory
Prevents you from accidentally destroyinq the environment while in the inventory"
ItemTooltip.DontHurtCrittersBook,Prevents you from hurtinq critters while in the inventory
